iter	Passed	Remaining
0	147	147209
1	148	73978
2	149	49546
3	150	37386
4	151	30171
5	152	25336
6	154	21847
7	154	19214
8	155	17166
9	156	15516
10	157	14188
11	159	13112
12	160	12184
13	161	11385
14	162	10680
15	164	10087
16	165	9542
17	165	9052
18	166	8619
19	168	8242
20	170	7928
21	171	7611
22	172	7320
23	173	7045
24	174	6793
25	175	6559
26	177	6412
27	179	6246
28	181	6066
29	182	5895
30	183	5725
31	184	5566
32	184	5415
33	185	5282
34	186	5153
35	187	5026
36	188	4907
37	192	4870
38	193	4760
39	193	4654
40	194	4555
41	195	4470
42	196	4382
43	197	4294
44	198	4211
45	199	4131
46	200	4060
47	201	3989
48	201	3919
49	202	3852
50	203	3789
51	205	3744
52	206	3687
53	207	3635
54	208	3580
55	209	3528
56	210	3476
57	210	3426
58	211	3377
59	212	3329
60	213	3286
61	214	3243
62	215	3201
63	216	3159
64	216	3118
65	219	3108
66	221	3088
67	222	3054
68	223	3018
69	224	2982
70	225	2948
71	226	2914
72	226	2881
73	227	2849
74	228	2819
75	229	2789
76	230	2759
77	230	2730
78	232	2704
79	235	2703
80	236	2678
81	237	2655
82	237	2627
83	238	2604
84	240	2584
85	241	2563
86	242	2540
87	243	2519
88	243	2495
89	244	2473
90	245	2450
91	246	2429
92	246	2407
93	249	2404
94	250	2384
95	251	2364
96	251	2345
97	252	2325
98	253	2306
99	254	2287
100	254	2269
101	255	2250
102	256	2233
103	257	2217
104	258	2200
105	258	2183
106	259	2166
107	260	2150
108	263	2154
109	264	2142
110	266	2130
111	267	2116
112	268	2103
113	268	2090
114	269	2077
115	270	2063
116	271	2048
117	272	2035
118	273	2022
119	274	2009
120	274	1997
121	275	1983
122	277	1976
123	278	1967
124	279	1957
125	280	1946
126	281	1934
127	282	1922
128	282	1910
129	283	1899
130	284	1887
131	285	1877
132	286	1867
133	294	1902
134	296	1901
135	298	1893
136	299	1889
137	300	1879
138	301	1868
139	302	1860
140	306	1868
141	307	1857
142	308	1847
143	309	1839
144	310	1828
145	311	1819
146	311	1809
147	312	1799
148	313	1790
149	314	1780
150	315	1771
151	315	1761
152	316	1753
153	317	1745
154	320	1745
155	321	1738
156	322	1730
157	323	1721
158	324	1715
159	325	1707
160	325	1698
161	326	1691
162	327	1682
163	328	1674
164	329	1666
165	330	1660
166	331	1653
167	332	1645
168	333	1638
